Line,Current_A,Loading_percent
650632,562.5799698923868,140.6449924730967
632670,481.8902437734949,120.47256094337374
670671,473.7694073147923,118.4423518286981
671680,0.000572287869584116,0.000143071967396029
632633,81.89360849461214,20.473402123653035
632645,64.37694454035923,16.094236135089808
645646,64.37715350329114,16.094288375822785
692675,206.84176673847443,51.710441684618615
671684,62.69701123727248,15.674252809318121
684611,71.15260096173553,17.788150240433882
684652,62.697077421481836,15.674269355370459
671692,230.93315685976935,57.73328921494234
