Hour,Without PV,With PV
0,1.040274982072703,1.040274982072703
1,1.0402749829249132,1.0402749829249132
2,1.0402749829855593,1.0402749829855593
3,1.0402749829879623,1.0402749829879623
4,1.04027498298804,1.04027498298804
5,1.0402749829880424,1.0418060350205283
6,1.0402749829880427,1.0436047380879194
7,1.0402749829880427,1.045251690696797
8,1.0402749829880427,1.04650415932969
9,1.0402749829880427,1.0470411237877728
10,1.0402749829880427,1.0470410991731935
11,1.0402749829880427,1.0470411089957812
12,1.0402749829880427,1.04704110898918
13,1.0402749829880427,1.04677748035616
14,1.0402749829880427,1.046222612260418
15,1.0402749829880427,1.045027382244124
16,1.0402749829880427,1.043395029874735
17,1.0402749829880427,1.040276449452859
18,1.0402749829880427,1.0402749898891586
19,1.0402749829880427,1.0402749823236983
20,1.0402749829880427,1.0402749829514637
21,1.0402749829880427,1.0402749829866926
22,1.0402749829880427,1.0402749829879998
23,1.0402749829880427,1.0402749829880418
